Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),A,SOC,SOC%
0,3.938207626,0,0,0,1,100
0.999833703,4.020122051,0.00277748,0,0,1,100
0.999833703,4.025464058,0.005554986,0,0,1,100
1.000014305,4.029349327,0.008336709,0,0,1,100
0.999833703,4.032263279,0.011118467,0,0,1,100
0.999833703,4.034691334,0.013895894,0,0,1,100
0.999833703,4.036796093,0.016681921,0,0,1,100
1.000014305,4.038900375,0.019463608,0,0,1,100
0.999833703,4.040681362,0.022241085,0,0,1,100
1.000014305,4.042461872,0.025018449,0,0,1,100
0.999833703,4.044242859,0.027800237,0,0,1,100
1.000014305,4.046185493,0.030581951,0,0,1,100
0.999833703,4.047804356,0.033363672,0,0,1,100
1.000014305,4.04974699,0.036145406,0,0,1,100
0.999653101,4.051203728,0.038927082,0,0,1,100
1.000014305,4.053146362,0.041704466,0,0,1,100
1.000014305,4.054765224,0.04448622,0,0,1,100
0.999833703,4.056546211,0.047267798,0,0,1,100
0.999833703,4.058002949,0.050045353,0,0,1,100
0.999653101,4.059460163,0.052822719,0,0,1,100
1.000014305,4.061402798,0.055600083,0,0,1,100
0.999833703,4.06302166,0.058386034,0,0,1,100
0.999833703,4.064640522,0.06116774,0,0,1,100
0.999833703,4.066421032,0.063949373,0,0,1,100
0.999653101,4.068039894,0.066731044,0,0,1,100
1.000014305,4.069820881,0.069512752,0,0,1,100
0.999833703,4.071277618,0.072290186,0,0,1,100
1.000014305,4.073058605,0.075071817,0,0,1,100
0.999833703,4.074677467,0.077853473,0,0,1,100
0.999833703,4.076296329,0.080635169,0,0,1,100
0.999833703,4.078076839,0.083416869,0,0,1,100
0.999653101,4.079534054,0.086198563,0,0,1,100
0.999653101,4.081152916,0.088980287,0,0,1,100
1.000014305,4.082933426,0.091761993,0,0,1,100
0.999833703,4.084552288,0.094543703,0,0,1,100
0.999833703,4.086333275,0.097325381,0,0,1,100
0.999833703,4.087952137,0.100102754,0,0,1,100
0.999833703,4.089408875,0.102793322,0,0,1,100
1.000014305,4.091351509,0.105661787,0,0,1,100
0.999833703,4.092970371,0.108439109,0,0,1,100
1.000014305,4.094589233,0.111220796,0,0,1,100
1.000014305,4.096208096,0.11400255,0,0,1,100
0.999833703,4.097826958,0.11678422,0,0,1,100
0.999833703,4.09944582,0.119565897,0,0,1,100
0.999833703,4.101064682,0.122347659,0,0,1,100
0.999653101,4.102521896,0.12512942,0,0,1,100
0.999833703,4.104464531,0.127906767,0,0,1,100
0.999833703,4.106083393,0.130688526,0,0,1,100
0.999833703,4.107702255,0.133470132,0,0,1,100
0.999833703,4.109482765,0.136247551,0,0,1,100
0.999833703,4.11093998,0.139029172,0,0,1,100
0.999833703,4.112558842,0.141806514,0,0,1,100
1.000194907,4.114339352,0.14459262,0,0,1,100
1.000014305,4.115958214,0.147374302,0,0,1,100
0.999653101,4.117577076,0.150155962,0,0,1,100
0.999833703,4.119195938,0.15293762,0,0,1,100
0.999833703,4.120976448,0.155714959,0,0,1,100
1.000014305,4.12259531,0.15849665,0,0,1,100
0.999833703,4.124214172,0.161274049,0,0,1,100
1.000014305,4.125833035,0.164055781,0,0,1,100
0.999833703,4.127614021,0.166833143,0,0,1,100
0.999833703,4.129232883,0.169614848,0,0,1,100
0.999833703,4.130851746,0.172392183,0,0,1,100
0.999833703,4.132632256,0.175169568,0,0,1,100
0.999833703,4.134251118,0.177951219,0,0,1,100
0.999833703,4.135708332,0.1807329,0,0,1,100
0.999833703,4.137650967,0.183510245,0,0,1,100
0.999833703,4.139269829,0.186291992,0,0,1,100
1.000014305,4.141050339,0.189073625,0,0,1,100
0.999653101,4.142507553,0.191855341,0,0,1,100
0.999833703,4.144288063,0.194632736,0,0,1,100
0.999833703,4.145906925,0.197414398,0,0,1,100
0.999833703,4.147687912,0.200196049,0,0,1,100
0.999833703,4.149468422,0.202977711,0,0,1,100
0.999833703,4.151087284,0.205759411,0,0,1,100
0.999833703,4.152706146,0.208541077,0,0,1,100
1.000014305,4.154648781,0.211322744,0,0,1,100
0.999833703,4.156267643,0.214104426,0,0,1,100
0.999653101,4.157886505,0.216886122,0,0,1,100
0.999653101,4.159667492,0.21966348,0,0,1,100
0.999833703,4.161448002,0.222449469,0,0,1,100
