Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),A,SOC,SOC%
0,2.968420029,0,0,0,1,100
0.999364197,3.102443933,0.002780395,0,0,1,100
0.999364197,3.136800766,0.005560801,0,0,1,100
0.999544024,3.165971756,0.00834124,0,0,1,100
0.999364197,3.191253185,0.011121683,0,0,1,100
0.999364197,3.214103699,0.013902093,0,0,1,100
0.999364197,3.235009432,0.016682461,0,0,1,100
0.999364197,3.253970623,0.019458684,0,0,1,100
0.99918437,3.271473169,0.022239138,0,0,1,100
0.99918437,3.288003206,0.025015332,0,0,1,100
0.999364197,3.303561211,0.027791334,0,0,1,100
0.999364197,3.317984581,0.030576237,0,0,1,100
0.999364197,3.331921577,0.033356711,0,0,1,100
0.999544024,3.345048666,0.03613713,0,0,1,100
0.999544024,3.357365131,0.038913262,0,0,1,100
0.99918437,3.36887145,0.04169367,0,0,1,100
0.999364197,3.380377769,0.044474137,0,0,1,100
0.999364197,3.391073704,0.047254607,0,0,1,100
0.999364197,3.401283503,0.050034986,0,0,1,100
0.999364197,3.411169291,0.052811234,0,0,1,100
0.999364197,3.420568705,0.055591734,0,0,1,100
0.999364197,3.429644108,0.058372113,0,0,1,100
0.999544024,3.4383955,0.061152637,0,0,1,100
0.99918437,3.446822643,0.063928783,0,0,1,100
0.999364197,3.455087662,0.066709242,0,0,1,100
0.999364197,3.462866545,0.069489714,0,0,1,100
0.999364197,3.470321417,0.072270168,0,0,1,100
0.999544024,3.477614164,0.075050649,0,0,1,100
0.999364197,3.484582663,0.077831135,0,0,1,100
0.999364197,3.491551161,0.080611561,0,0,1,100
0.999544024,3.498033762,0.08338773,0,0,1,100
0.999364197,3.504516125,0.086168169,0,0,1,100
0.999544024,3.510512352,0.088948675,0,0,1,100
0.999544024,3.516184568,0.091729107,0,0,1,100
0.999364197,3.521694422,0.09450956,0,0,1,100
0.999364197,3.526880503,0.097285761,0,0,1,100
0.999544024,3.53158021,0.100066223,0,0,1,100
0.999364197,3.535631657,0.102846643,0,0,1,100
0.999544024,3.538872957,0.105622766,0,0,1,100
0.999364197,3.541141748,0.108403218,0,0,1,100
0.999544024,3.542924404,0.11118367,0,0,1,100
0.999364197,3.5440588,0.113959782,0,0,1,100
0.999544024,3.544869184,0.116740274,0,0,1,100
0.999364197,3.545841455,0.1195207,0,0,1,100
0.999364197,3.546327829,0.122296887,0,0,1,100
0.999544024,3.547137976,0.125077363,0,0,1,100
0.999544024,3.547786236,0.12785782,0,0,1,100
0.999544024,3.548596621,0.130634125,0,0,1,100
0.999544024,3.549244881,0.133414814,0,0,1,100
0.999544024,3.549893141,0.136195492,0,0,1,100
0.999364197,3.550379276,0.13897609,0,0,1,100
0.999364197,3.551189661,0.141756787,0,0,1,100
0.999364197,3.551675797,0.144533106,0,0,1,100
0.999544024,3.552648067,0.147313753,0,0,1,100
0.999544024,3.553296328,0.150094423,0,0,1,100
0.999544024,3.553944588,0.152875106,0,0,1,100
0.999544024,3.554430723,0.155655786,0,0,1,100
0.999364197,3.555241108,0.158436351,0,0,1,100
0.999544024,3.556051254,0.161217182,0,0,1,100
0.999544024,3.556699514,0.163993622,0,0,1,100
0.999364197,3.557185888,0.166774382,0,0,1,100
0.999723852,3.557996035,0.16955517,0,0,1,100
0.999544024,3.558644295,0.172335905,0,0,1,100
0.999544024,3.55913043,0.175116752,0,0,1,100
0.999723852,3.56010294,0.177897541,0,0,1,100
0.999544024,3.5607512,0.180674043,0,0,1,100
0.999544024,3.56139946,0.18345484,0,0,1,100
0.999544024,3.562047482,0.186231252,0,0,1,100
0.999544024,3.562695742,0.18901201,0,0,1,100
0.999364197,3.563344002,0.191788484,0,0,1,100
0.999544024,3.563992262,0.194573639,0,0,1,100
0.999364197,3.564640522,0.197354445,0,0,1,100
0.999544024,3.565288782,0.200135212,0,0,1,100
0.999723852,3.566099167,0.202911725,0,0,1,100
0.999544024,3.566909313,0.205692546,0,0,1,100
0.999544024,3.567233562,0.208473361,0,0,1,100
0.999544024,3.568205833,0.211249855,0,0,1,100
0.999364197,3.568530083,0.214030662,0,0,1,100
0.999544024,3.569502354,0.216811454,0,0,1,100
0.999544024,3.570312738,0.219592233,0,0,1,100
0.999544024,3.570960999,0.222368709,0,0,1,100
0.999544024,3.571771145,0.225149487,0,0,1,100
0.999544024,3.572419405,0.227930261,0,0,1,100
0.999544024,3.573391914,0.230706788,0,0,1,100
0.999544024,3.57387805,0.23348755,0,0,1,100
0.999544024,3.574688435,0.236264058,0,0,1,100
0.999544024,3.575660706,0.239044855,0,0,1,100
0.999364197,3.57647109,0.241825637,0,0,1,100
0.999544024,3.577281237,0.244606436,0,0,1,100
0.999544024,3.578253746,0.247387256,0,0,1,100
0.999544024,3.579226017,0.250168075,0,0,1,100
